No.;Time;;Source;Destination;;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
605;1,913769;;192,168,1,3;23,44,53,144;;;1,913769;1,924818;0,011049;;0,011048;1,00E-06;-0,011047
607;1,924818;;23,44,53,144;192,168,1,3;;;1,924818;1,924819;1,00E-06;;-0,005077;0,005078;0,010155
608;1,924819;;23,44,53,144;192,168,1,3;;;1,924819;1,929897;0,005078;;-0,006876;0,011954;0,01883
610;1,929897;;192,168,1,3;23,44,53,144;;;1,929897;1,941851;0,011954;;0,007012;0,004942;-0,00207
612;1,941851;;192,168,1,3;23,44,53,144;;;1,941851;1,946793;0,004942;;-0,005121;0,010063;0,015184
614;1,946793;;144,195,42,75;192,168,1,3;;;1,946793;1,956856;0,010063;;0,006872;0,003191;-0,003681
617;1,956856;;192,168,1,3;144,195,42,75;;;1,956856;1,960047;0,003191;;0,001524;0,001667;0,000143
618;1,960047;;192,168,1,3;104.109.129.114;;;1,960047;1,961714;0,001667;;-0,015402;0,017069;0,032471
619;1,961714;;192,168,1,3;104.109.129.114;;;1,961714;1,978783;0,017069;;0,017068;1,00E-06;-0,017067
624;1,978783;;23,44,53,144;192,168,1,3;;;1,978783;1,978784;1,00E-06;;-0,012944;0,012945;0,025889
625;1,978784;;23,44,53,144;192,168,1,3;;;1,978784;1,991729;0,012945;;-0,011277;0,024222;0,035499
630;1,991729;;192,168,1,3;104.109.129.114;;;1,991729;2,015951;0,024222;;0,024222;0;-0,024222
634;2,015951;;23,44,53,144;192,168,1,3;;;2,015951;2,015951;0;;-0,00475;0,00475;0,0095
635;2,015951;;23,44,53,144;192,168,1,3;;;2,015951;2,020701;0,00475;;-0,003314;0,008064;0,011378
637;2,020701;;192,168,1,3;23,44,53,144;;;2,020701;2,028765;0,008064;;-0,00992;0,017984;0,027904
638;2,028765;;23,44,53,144;192,168,1,3;;;2,028765;2,046749;0,017984;;0,017003;0,000981;-0,016022
641;2,046749;;23,44,53,144;192,168,1,3;;;2,046749;2,04773;0,000981;;-0,014071;0,015052;0,029123
642;2,04773;;23,44,53,144;192,168,1,3;;;2,04773;2,062782;0,015052;;0,015052;0;-0,015052
646;2,062782;;104.109.129.114;192,168,1,3;;;2,062782;2,062782;0;;-0,000161;0,000161;0,000322
647;2,062782;;72.246.222.152;192,168,1,3;;;2,062782;2,062943;0,000161;;-0,000646;0,000807;0,001453
648;2,062943;;192,168,1,3;104.109.129.114;;;2,062943;2,06375;0,000807;;0,00065;0,000157;-0,000493
649;2,06375;;192,168,1,3;104.109.129.114;;;2,06375;2,063907;0,000157;;0,000156;1,00E-06;-0,000155
650;2,063907;;72.246.222.152;192,168,1,3;;;2,063907;2,063908;1,00E-06;;1,00E-06;0;-1,00E-06
651;2,063908;;72.246.222.152;192,168,1,3;;;2,063908;2,063908;0;;-0,000104;0,000104;0,000208
652;2,063908;;72.246.222.152;192,168,1,3;;;2,063908;2,064012;0,000104;;-0,000736;0,00084;0,001576
653;2,064012;;192,168,1,3;72.246.222.152;;;2,064012;2,064852;0,00084;;0,000736;0,000104;-0,000632
654;2,064852;;72.246.222.152;192,168,1,3;;;2,064852;2,064956;0,000104;;-0,001748;0,001852;0,0036
655;2,064956;;192,168,1,3;72.246.222.152;;;2,064956;2,066808;0,001852;;0,001721;0,000131;-0,00159
659;2,066808;;192,168,1,3;23,44,53,144;;;2,066808;2,066939;0,000131;;-0,003638;0,003769;0,007407
660;2,066939;;192,168,1,3;23,44,53,144;;;2,066939;2,070708;0,003769;;0,000679;0,00309;0,002411
662;2,070708;;192,168,1,3;23,44,53,144;;;2,070708;2,073798;0,00309;;0,002948;0,000142;-0,002806
663;2,073798;;104.109.129.114;192,168,1,3;;;2,073798;2,07394;0,000142;;-0,015766;0,015908;0,031674
664;2,07394;;192,168,1,3;104.109.129.114;;;2,07394;2,089848;0,015908;;0,015759;0,000149;-0,01561
666;2,089848;;104.109.129.114;192,168,1,3;;;2,089848;2,089997;0,000149;;-0,024176;0,024325;0,048501
667;2,089997;;192,168,1,3;104.109.129.114;;;2,089997;2,114322;0,024325;;-0,028328;0,052653;0,080981
669;2,114322;;192,168,1,3;104.109.129.114;;;2,114322;2,166975;0,052653;;0,051675;0,000978;-0,050697
678;2,166975;;192,168,1,3;23,44,53,144;;;2,166975;2,167953;0,000978;;0,000977;1,00E-06;-0,000976
679;2,167953;;104.109.129.114;192,168,1,3;;;2,167953;2,167954;1,00E-06;;0;1,00E-06;1,00E-06
